Day,Date,Week,Start Time,Hour,Source,Purpose of contact,Description,Is the enquirer a student?,Category,Action Taken,Is the case forwarded to officer-in-charge?,Has the problem resolved?,Attended by,Closed by,End Date,End Time,,,,,,,,,,,,,,,
Tuesday,02/08/2022,1,09:40:00,9,Email,Enquiry,Penjelasan tentang pembayaran,Yes,Fees,NA,Yes,Pending,NA,NA,NA,NA,,,,,,,,,,,,,,,
Tuesday,02/08/2022,1,17:12:00,17,Email,Enquiry,Pertanyaan tentang peperiksaan dan certificate,Yes,Exams,NA,Yes,Pending,NA,NA,NA,NA,,,,,,,,,,,,,,,
Tuesday,02/08/2022,1,20:41:00,20,Email,Enquiry,payment for my PAQ 3 MDIS,Yes,Registration,NA,Yes,Pending,NA,NA,NA,NA,,,,,,,,,,,,,,,
Tuesday,02/08/2022,1,22:48:00,22,Email,Enquiry,Payment for program COH10SPIm/Ahad/Wisma,Yes,Fees,pembayaran diterima,Yes,Yes,NA,NA,NA,NA,,,,,,,,,,,,,,,
Tuesday,02/08/2022,1,23:15:00,23,Email,Transaction,payment for DPI,Yes,Fees,yuran pendaftaran diterima,Yes,Yes,NA,NA,NA,NA,,,,,,,,,,,,,,,
Tuesday,02/08/2022,1,07:41:00,7,Email,Enquiry,berminat untuk pengajian DPI untuk kemasukan Ogos 2022,Yes,Registration,NA,Yes,Pending,NA,NA,NA,NA,,,,,,,,,,,,,,,
Tuesday,02/08/2022,1,10:31:00,10,Phone,Enquiry,Ordered books online for delivery to home but wants to self-collect instead - Haiqal (Ref. No: #13847),Yes,Books,Changed delivery information from delivery to home to self-collect free,No,Yes,NA,NA,NA,NA,,,,,,,,,,,,,,,
Tuesday,02/08/2022,1,15:20:00,15,Counter,Transaction,Collect book - Suzinah - (Ref. No: #13867),Yes,Books,Issued book,No,Yes,NA,NA,NA,NA,,,,,,,,,,,,,,,
Tuesday,02/08/2022,1,15:29:00,15,Counter,Transaction,Buy book - IRK 4 - Muhammad Rushdi Bin Ab Kahar,Yes,Books,Received payment and issued book,No,Yes,NA,NA,NA,NA,,,,,,,,,,,,,,,
Tuesday,02/08/2022,1,17:27:00,17,Phone,Enquiry,Dah habis SPI belum lulus semua module. Has emailed his enquiry to IPIP. Wants to know when is the best time to submit for remodule,Yes,Exams,Advised accordingly,No,Yes,NA,NA,NA,NA,,,,,,,,,,,,,,,
Tuesday,02/08/2022,1,18:00:00,18,Counter,Transaction,Collect book - Muhammad Haiqal - (Ref. No: #13843),Yes,Books,Issued books,No,Yes,NA,NA,NA,NA,,,,,,,,,,,,,,,
Tuesday,02/08/2022,1,18:20:00,18,Counter,Transaction,Collect book - Nurul Syafiqah - (Ref. No: #13838),Yes,Books,Issued books,No,Yes,NA,NA,NA,NA,,,,,,,,,,,,,,,
Saturday,03/08/2022,1,15:59:00,15,Email,Enquiry,pause lessons monetarily in case of NS duties?,Yes,Classes,Yes you may if you have a letter,Yes,Yes,NA,NA,NA,NA,,,,,,,,,,,,,,,
Wednesday,03/08/2022,1,13:56:00,13,Email,Transaction,payment for first semester,Yes,Fees,payment accepted,Yes,Yes,NA,NA,NA,NA,,,,,,,,,,,,,,,
Wednesday,03/08/2022,1,18:59:00,18,Email,Enquiry,Pertanyaan untuk pause pegajian disebabkan NS,Yes,Classes,NA,Yes,Pending,NA,NA,NA,NA,,,,,,,,,,,,,,,
Wednesday,03/08/2022,1,22:54:00,22,Email,Enquiry,pertanyaan tentang sinambungan class paq 3.3,Yes,Classes,NA,Yes,Pending,NA,NA,NA,NA,,,,,,,,,,,,,,,
Wednesday,03/08/2022,1,23:06:00,23,Email,Enquiry,Pembayaran Kelas SLPI,Yes,Registration,pembayaran yuran pendaftaran diterima dan di dalam perhatian.,Yes,Yes,NA,NA,NA,NA,,,,,,,,,,,,,,,
Wednesday,03/08/2022,1,09:08:00,9,Email,Transaction,Pembayaran yuran modul fiqh SPI,Yes,Fees,Received payment and advised by ustazah zahirah,Yes,Yes,NA,NA,NA,NA,,,,,,,,,,,,,,,
Wednesday,03/08/2022,1,17:28:00,17,Email,Enquiry,Pertanyaan Inquiry sinambungan setelah selesai paq3.3,Yes,Registration,Advised Accordingly by ustazah hidayah,Yes,Yes,NA,NA,NA,NA,,,,,,,,,,,,,,,
Wednesday,03/08/2022,1,10:27:00,10,Phone,Enquiry,PBA dah boleh register ke belum? Kelas dia hari Ahad sahaja tidak ada lain hari?,No,General,Advised accordingly,No,Yes,NA,NA,NA,NA,,,,,,,,,,,,,,,
Wednesday,03/08/2022,1,10:37:00,10,Phone,Enquiry,Check outstanding balance of fees - Rashidah Binti Sulaiman,Yes,Fees,Advised accordingly,No,Yes,NA,NA,NA,NA,,,,,,,,,,,,,,,
Wednesday,03/08/2022,1,11:03:00,11,Counter,Transaction,Handed over documents for IIUM Graduation for Ustaz Afiq Zikry - Rashidah Binti Sulaiman,Yes,Fees,Received documents and handed over to Ustaz Afiq,Yes,Yes,NA,NA,NA,NA,,,,,,,,,,,,,,,
Wednesday,03/08/2022,1,11:56:00,11,Phone,Enquiry,Call for Ustazah Zahirah from Aishah. Wants to ask about CN. She has created an account but doesn't know how to navigate.,Yes,Classes,Referred to Ustazah Zahirah of IPIP and advised accordingly,No,Yes,NA,NA,NA,NA,,,,,,,,,,,,,,,
Wednesday,03/08/2022,1,12:25:00,12,Counter,Transaction,Buy book - Tajwid Power 1 & 2 (1 copy each) - Kamariah binte Ulis,Yes,Books,Received payment and issued books,No,Yes,NA,NA,NA,NA,,,,,,,,,,,,,,,
Wednesday,03/08/2022,1,17:10:00,17,Counter,Transaction,Pay fees - Ustaz Matiin on behalf of Suriati Binte Kardi,Yes,Fees,Received payment,No,Yes,NA,NA,NA,NA,,,,,,,,,,,,,,,
Thursday,04/08/2022,1,13:08:00,13,Email,Enquiry,"jadual , senarai buku dan pembayaran yuran belum diberikan",Yes,General,NA,No,Yes,NA,NA,NA,NA,,,,,,,,,,,,,,,
Thursday,04/08/2022,1,18:14:00,18,Facebook,Enquiry,Pertanyaan tentang tempoh dan jadual pengajian Bahasa Arab,Yes,Registration,Advised accordingly,Yes,Pending,NA,NA,NA,NA,,,,,,,,,,,,,,,
Thursday,04/08/2022,1,18:30:00,18,Facebook,Enquiry,Requirement to apply for Arabic Classes,Yes,Registration,Advised accordingly,Yes,Yes,NA,NA,NA,NA,,,,,,,,,,,,,,,
Thursday,04/08/2022,1,15:25:00,15,Facebook,Enquiry,Pertanyaan tentang tempoh dan waktu pengajian Arabic Language,Yes,Registration,Advised accordingly,Yes,Yes,NA,NA,NA,NA,,,,,,,,,,,,,,,
Thursday,04/08/2022,1,23:24:00,23,Email,Transaction,Pembayaran Trimester Pertama,Yes,Fees,Received payment and replied by Ustazah Hidayah,Yes,Yes,NA,NA,NA,NA,,,,,,,,,,,,,,,
Thursday,04/08/2022,1,16:16:00,16,Email,Transaction,Pembayaran Yuran SPI modul fiqh,Yes,Fees,Received payment and advised by ustazah zahirah,Yes,Yes,NA,NA,NA,NA,,,,,,,,,,,,,,,
Thursday,04/08/2022,1,12:45:00,12,Counter,Transaction,Pay fees and buy books - Ustaz Majeed on behalf of Muhammad Amar Bin Kh Majeed,Yes,Fees,Received payment and issued book,No,Yes,NA,NA,NA,NA,,,,,,,,,,,,,,,
Thursday,04/08/2022,1,14:17:00,14,Phone,Enquiry,Wants to change venue for class SPI - Samsul Kamar Abdullah,Yes,Classes,Referred to Ustazah Hidayah of IPIP,Yes,Yes,NA,NA,NA,NA,,,,,,,,,,,,,,,
Thursday,04/08/2022,1,15:18:00,15,Phone,Enquiry,PAQ Pertengahan ada hari Sabtu?,No,General,Advised accordingly,No,Yes,NA,NA,NA,NA,,,,,,,,,,,,,,,
Friday,05/08/2022,1,13:58:00,13,Facebook,Enquiry,Pertanyaan tentang tempoh pengajian dan had umur,Yes,Registration,Advised accordingly,Yes,Yes,NA,NA,NA,NA,,,,,,,,,,,,,,,
Friday,05/08/2022,1,14:33:00,14,Facebook,Enquiry,Pertanyaan tentang jadual program Bahasa Arab,Yes,Registration,Advised accordingly,Yes,Yes,NA,NA,NA,NA,,,,,,,,,,,,,,,
Friday,05/08/2022,1,16:13:00,16,Facebook,Enquiry,Pertanyaan tentang tempoh pengajian dan had umur,Yes,Registration,Advised accordingly,Yes,Yes,NA,NA,NA,NA,,,,,,,,,,,,,,,
Friday,05/08/2022,1,16:22:00,16,Facebook,Enquiry,Pertanyaan tentang tempoh pengajian dan had umur,Yes,Registration,Advised accordingly,Yes,Yes,NA,NA,NA,NA,,,,,,,,,,,,,,,
Friday,05/08/2022,1,13:58:00,13,Facebook,Enquiry,Pertanyaan tentang tempoh pengajian dan had umur,Yes,Registration,Advised accordingly,Yes,Yes,NA,NA,NA,NA,,,,,,,,,,,,,,,
Friday,05/08/2022,1,18:55:00,18,Facebook,Enquiry,Pertanyaan tentang yuran dan bila bermula pengajiannya,Yes,Registration,Advised accordingly,Yes,Yes,NA,NA,NA,NA,,,,,,,,,,,,,,,
Friday,05/08/2022,1,18:35:00,18,Email,Enquiry,Pertanyaan tentang class fizikal atau online,Yes,Classes,NA,Yes,Yes,NA,NA,NA,NA,,,,,,,,,,,,,,,
Friday,05/08/2022,1,18:38:00,18,Email,Enquiry,Pembayaran Yuran SLPI,Yes,Fees,NA,No,Pending,NA,NA,NA,NA,,,,,,,,,,,,,,,
Friday,05/08/2022,1,11:50:00,11,Email,Transaction,Pembayaran Yuran,Yes,Fees,Revised payment by ustazah hidayah,No,Pending,NA,NA,NA,NA,,,,,,,,,,,,,,,
Friday,05/08/2022,1,14:56:00,14,Email,Transaction,Pembayaran Yuran,Yes,Fees,Revised payment by ustazah hidayah,Yes,Yes,NA,NA,NA,NA,,,,,,,,,,,,,,,
Friday,05/08/2022,1,14:30:00,14,Counter,Transaction,Collect book - Fadli - (Ref. No: #13894),Yes,Books,Issued book,No,Yes,NA,NA,NA,NA,,,,,,,,,,,,,,,
Friday,05/08/2022,1,14:45:00,14,Counter,Transaction,Buy book - Sejarah Perundangan Islam (1 copy) - Elmy Sulaiha Binte Nasre,Yes,Books,Received payment and issued book,No,Yes,NA,NA,NA,NA,,,,,,,,,,,,,,,
Friday,05/08/2022,1,15:25:00,15,Counter,Transaction,Pass to Ustaz Afiq Zikry his student metric card - Hayyan,Yes,General,Handed over student metric card to Ustaz Afiq Zikry,No,Yes,NA,NA,NA,NA,,,,,,,,,,,,,,,
Friday,05/08/2022,1,15:40:00,15,Counter,Transaction,Buy all books for SLPI - Syarifah Thahirah Binte Ali Akbar,Yes,Books,Received Payment and Issued Books,No,Yes,NA,NA,NA,NA,,,,,,,,,,,,,,,
Friday,05/08/2022,1,16:03:00,16,Counter,Transaction,Buy book - Nota Usul Fiqh (1 copy) - Mohamad Akmalhasif Bin Mohamad Kamal,Yes,Books,Received payment and issued book,No,Yes,NA,NA,NA,NA,,,,,,,,,,,,,,,
Friday,05/08/2022,1,17:03:00,17,Phone,Enquiry,Called yesterday regarding the change of course venue from Wisma Indah to Madrasah Aljunied. Received email via Ustazah Hidayah of IPIP to communicate via email,Yes,Classes,Advised accordingly,No,Yes,NA,NA,NA,NA,,,,,,,,,,,,,,,
Friday,05/08/2022,1,17:14:00,17,Phone,Enquiry,Buy books over counter or via website? If come down tomorrow to buy books can?,Yes,Books,Advised accordingly,No,Yes,NA,NA,NA,NA,,,,,,,,,,,,,,,
Friday,05/08/2022,1,17:48:00,17,Counter,Transaction,Buy all books for SPI - Nur Rasyiqah Bte Rasman,Yes,Books,Received payment and issued books,No,Yes,NA,NA,NA,NA,,,,,,,,,,,,,,,
Friday,05/08/2022,1,17:58:00,17,Counter,Transaction,Buy books - Ayat Ahkam (2 copies) - Nor Hafizan Bon Mohammad Rosli,Yes,Books,Received payment and issued books,No,Yes,NA,NA,NA,NA,,,,,,,,,,,,,,,
Friday,05/08/2022,1,18:29:00,18,Counter,Transaction,Collect Cert - PAQ 3 - Sufian Bin Ismail,Yes,Certificate,Issued cert,No,Yes,NA,NA,NA,NA,,,,,,,,,,,,,,,
Saturday,06/08/2022,1,20:05:00,20,Email,Transaction,Pembayaran yuran pertama,Yes,Fees,Revised payment by ustazah hidayah,Yes,Yes,NA,NA,NA,NA,,,,,,,,,,,,,,,
Saturday,06/08/2022,1,14:41:00,14,Email,Transaction,Pembayaran Yuran,Yes,Fees,Revised payment by ustazah hidayah,Yes,Yes,NA,NA,NA,NA,,,,,,,,,,,,,,,
Saturday,06/08/2022,1,10:20:00,10,Email,Transaction,Pembayaran Yuran SLPI Pertama,Yes,Fees,Revised payment by ustazah hidayah,Yes,Yes,NA,NA,NA,NA,,,,,,,,,,,,,,,
Saturday,06/08/2022,1,09:15:00,9,Counter,Transaction,Buy book - Pengajian Teks Hadith (1 copy) - Sumayyah Bte Jalaluddin,Yes,Books,Received payment and issued book,No,Yes,NA,NA,NA,NA,,,,,,,,,,,,,,,
Saturday,06/08/2022,1,10:06:00,10,Phone,Enquiry,Father of Raudah Nurzahrina Binte Zainuddin called regarding the CN portal. She doesn't know how access the CN portal in class at the moment. Needs assistance.,Yes,Classes,Referred to IPIP via WhatsApp,Yes,Yes,NA,NA,NA,NA,,,,,,,,,,,,,,,
Saturday,06/08/2022,1,10:20:00,10,Counter,Transaction,Buy book - Pengajian Teks Hadith (1 copy) - Diana Nursita Binte Abdul Latiff,Yes,Books,Received payment and issued book,No,Yes,NA,NA,NA,NA,,,,,,,,,,,,,,,
Saturday,06/08/2022,1,10:24:00,10,Counter,Transaction,Pay SPI registration fees and buy book - Pengajian Teks Hadith (1 copy) - Norindah Binte Johari,Yes,Fees,Received payment and issued book,No,Yes,NA,NA,NA,NA,,,,,,,,,,,,,,,
Saturday,06/08/2022,1,10:33:00,10,Counter,Transaction,Buy book - Nota Usul Fiqh (1 copy) - Rachmawati Lestari,Yes,Books,Received payment and issued book,No,Yes,NA,NA,NA,NA,,,,,,,,,,,,,,,
Saturday,06/08/2022,1,10:37:00,10,Counter,Enquiry,Has emailed Ustazah Hidayah of IPIP and Ustazah Ummu Laiyinah of Finance regarding the continuation of his studies for SLPI Coh 5 Madrasah Aljunied earlier this week but no response - Rachmat Novaruka,Yes,Classes,Referred to IPIP via WhatsApp,Yes,Yes,NA,NA,NA,NA,,,,,,,,,,,,,,,
Saturday,06/08/2022,1,11:19:00,11,Counter,Transaction,Handed over students' GIRO form in an envelope,Yes,Fees,Placed envelope with GIRO form in Finance in-tray,No,Yes,NA,NA,NA,NA,,,,,,,,,,,,,,,
Saturday,06/08/2022,1,11:20:00,11,Counter,Transaction,Buy book - Nota Dakwah (1 copy) - Father on behalf of Muhammad Firas bin Mohammed Mocktar,Yes,Books,Received payment and issued book,No,Yes,NA,NA,NA,NA,,,,,,,,,,,,,,,
Saturday,06/08/2022,1,11:42:00,11,Counter,Transaction,Buy book - Nota Dakwah (1 copy) - Father on behalf of Husna Bte Mohamed Azhar,Yes,Books,Received payment and issued book,No,Yes,NA,NA,NA,NA,,,,,,,,,,,,,,,
Saturday,06/08/2022,1,12:05:00,12,Counter,Transaction,Buy book - Nota Sejarah Perundangan Islam (1 copy) - MOHAMED HANIS SYAHMIE BIN MOHAMED HAROUN,Yes,Books,Received payment and issued book,No,Yes,NA,NA,NA,NA,,,,,,,,,,,,,,,
Saturday,06/08/2022,1,12:28:00,12,Phone,Enquiry,SPI Mingguan di Madrasah Aljunied Coh 8. Qur'an mentorship juga bermula esok?- Salimah,Yes,General,Referred to IPIP via WhatsApp and advised accordingly,Yes,Yes,NA,NA,NA,NA,,,,,,,,,,,,,,,
Saturday,06/08/2022,1,14:05:00,14,Counter,Transaction,Pay fees - Noor Umairah Bte Mohamad Noor,Yes,Fees,Received payment,No,Yes,NA,NA,NA,NA,,,,,,,,,,,,,,,
Saturday,06/08/2022,1,14:15:00,14,Counter,Enquiry,BIRKH Year 2 Sem 2 deferred studies and haven't taken exam what is the arrangement for the fees? Never receive email for invoice - Noor Umairah Bte Mohamad Noor,Yes,Fees,Referred to Finance,No,Yes,NA,NA,NA,NA,,,,,,,,,,,,,,,
Saturday,06/08/2022,1,14:27:00,14,Counter,Transaction,Buy book - Ayat Ahkam (1 copy) - Ahmad An-Nafees Bin Mohd Najib,Yes,Books,Received payment and issued book,No,Yes,NA,NA,NA,NA,,,,,,,,,,,,,,,
Saturday,06/08/2022,1,14:50:00,14,Counter,Transaction,Buy all books for SLPI and pay first payment - Mashitah Binte Zainal,Yes,Books,Received payment and issued books,No,Yes,NA,NA,NA,NA,,,,,,,,,,,,,,,
Saturday,06/08/2022,1,17:30:00,17,Counter,Transaction,Buy book - Nota Usul Fiqh (2 copies) - Nurul Ikhlas Idaman Binte Sulaiman,Yes,Books,Received payment and issued books,No,Yes,NA,NA,NA,NA,,,,,,,,,,,,,,,
Saturday,06/08/2022,1,17:42:00,17,Counter,Transaction,Buy book - Nota Sejarah Perundangan Islam (1 copy) - Nur Hayati Binte Mod Nor,Yes,Books,Received payment and issued book,No,Yes,NA,NA,NA,NA,,,,,,,,,,,,,,,
Sunday,07/08/2022,2,09:03:00,9,Counter,Enquiry,Asking whether class was physical or online - Noor,Yes,Classes,Referred to Ustazah Hidayah of IPIP and advised accordingly,Yes,Yes,NA,NA,NA,NA,,,,,,,,,,,,,,,
Sunday,07/08/2022,2,10:40:00,10,Counter,Transaction,Buy book - Akhlaq dan Fiqh - Syazalina Binte Mohd Ghazali,Yes,Books,Received payment and issued book,Yes,Yes,NA,NA,NA,NA,,,,,,,,,,,,,,,
Sunday,07/08/2022,2,10:50:00,10,Counter,Transaction,Buy Book - Pengajian Teks Hadith - Nasiruddin Mathanif,Yes,Books,Received payment and issued book,No,Yes,NA,NA,NA,NA,,,,,,,,,,,,,,,
Sunday,07/08/2022,2,10:55:00,10,Counter,Transaction,Buy Book - Akhlak dan Fiqh - AQIL IZZAUDDIN AL-ATTAS BIN SYED ABDUL RAHMAN,Yes,Books,Received payment and issued book,No,Yes,NA,NA,NA,NA,,,,,,,,,,,,,,,
Sunday,07/08/2022,2,11:00:00,11,Counter,Transaction,Buy Book - Pengajian Teks Hadith - Samsul Kamar Abdullah,Yes,Books,Received payment and issued book,No,Yes,NA,NA,NA,NA,,,,,,,,,,,,,,,
Sunday,07/08/2022,2,11:05:00,11,Counter,Transaction,Buy Book - Akhlak dan Fiqh - Muhammad Syafiq Bin Hashim,Yes,Books,Received payment and issued book,No,Yes,NA,NA,NA,NA,,,,,,,,,,,,,,,
Sunday,07/08/2022,2,11:10:00,11,Counter,Enquiry,Collect SPI Books - #13920,Yes,Books,Issued books,No,Yes,NA,NA,NA,NA,,,,,,,,,,,,,,,
Sunday,07/08/2022,2,11:15:00,11,Counter,Enquiry,Collected Cert - Maisarah Syazwina Bt Muhamad Azmi,Yes,Certificate,Issued Certificate,No,Yes,NA,NA,NA,NA,,,,,,,,,,,,,,,
Sunday,07/08/2022,2,11:20:00,11,Counter,Enquiry,Wanted to change class day from sun to fri - Maisarah Syazwina Bt Muhamad Azmi,Yes,Classes,referred to Ustazah Hidayah of IPIP and advised accordingly,No,Yes,NA,NA,NA,NA,,,,,,,,,,,,,,,
Sunday,07/08/2022,2,12:36:00,12,Counter,Enquiry,Collected Cert - Mohammad Izzat Bin Mohamad Ikhsan,Yes,Certificate,Issued Certificate,Yes,Yes,NA,NA,NA,NA,,,,,,,,,,,,,,,
Sunday,07/08/2022,2,14:39:00,14,Counter,Enquiry,Pertanyaan tentang had umur untuk pengajian bahasa arab,No,General,Advised accordingly,No,Yes,NA,NA,NA,NA,,,,,,,,,,,,,,,
Sunday,07/08/2022,2,22:39:00,22,Counter,Enquiry,Pertanyaan tentang pengajian bahas arab secara seluruh,No,Registration,Advised accordingly,Yes,Yes,NA,NA,NA,NA,,,,,,,,,,,,,,,
Sunday,07/08/2022,2,09:13:00,9,Email,Transaction,Yuran/COH7 SPIm Alj/Fiqh,Yes,Fees,Received payment and replied by Ustazah Hidayah,No,Yes,NA,NA,NA,NA,,,,,,,,,,,,,,,
Sunday,07/08/2022,2,07:18:00,7,Email,Transaction,Pembayaran yuran,Yes,Fees,Revised payment by ustazah hidayah,Yes,Yes,NA,NA,NA,NA,,,,,,,,,,,,,,,
Sunday,07/08/2022,2,05:14:00,5,Email,Transaction,Pembayaran Yuran,Yes,Fees,Revised payment by ustazah hidayah,Yes,Yes,NA,NA,NA,NA,,,,,,,,,,,,,,,
Sunday,07/08/2022,2,00:10:00,0,Email,Transaction,Pembayaran Yuran,Yes,Fees,Revised payment by ustazah hidayah,Yes,Yes,NA,NA,NA,NA,,,,,,,,,,,,,,,
Sunday,07/08/2022,2,11:03:00,11,Email,Transaction,Pembayaran Yuran,Yes,Fees,Revised payment by ustazah hidayah,Yes,Yes,NA,NA,NA,NA,,,,,,,,,,,,,,,
Sunday,07/08/2022,2,20:00:00,20,Email,Enquiry,Pertanyaan tentang bila mulanya class,Yes,Classes,NA,Yes,Yes,NA,NA,NA,NA,,,,,,,,,,,,,,,
Sunday,07/08/2022,2,13:27:00,13,Email,Enquiry,Penarikan Diri Dari PERGAS,Yes,Classes,penerangan berhubungan penangguhan dan penarikan diri,Yes,Yes,NA,NA,NA,NA,,,,,,,,,,,,,,,
Sunday,07/08/2022,2,12:59:00,12,Facebook,Enquiry,Tempoh Pengajian,Yes,Classes,Advised Accordingly,Yes,Yes,NA,NA,NA,NA,,,,,,,,,,,,,,,
Sunday,07/08/2022,2,13:22:00,13,Facebook,Enquiry,Had umur dan Jadual program,Yes,Classes,Advised Accordingly from the website,Yes,Yes,NA,NA,NA,NA,,,,,,,,,,,,,,,
Sunday,07/08/2022,2,14:37:00,14,Facebook,Enquiry,Had umur Program Bahasa Arab,Yes,General,Advised Accordingly based on website,Yes,Yes,NA,NA,NA,NA,,,,,,,,,,,,,,,
Sunday,07/08/2022,2,22:39:00,22,Facebook,Enquiry,Pertanyaan tentang pengajar IPIP,No,General,Advised Accordingly,Yes,Yes,NA,NA,NA,NA,,,,,,,,,,,,,,,
Sunday,07/08/2022,2,19:28:00,19,Facebook,Enquiry,Tempoh Pengajian,No,Classes,Advised Accordingly,Yes,Yes,NA,NA,NA,NA,,,,,,,,,,,,,,,
Sunday,07/08/2022,2,09:03:00,9,Counter,Enquiry,Asking whether class was physical or online - Noor,Yes,Classes,Referred to Ustazah Hidayah of IPIP and advised accordingly,Yes,Yes,NA,NA,NA,NA,,,,,,,,,,,,,,,
Sunday,07/08/2022,2,10:40:00,10,Counter,Transaction,Buy book - Akhlaq dan Fiqh - Syazalina Binte Mohd Ghazali,Yes,Books,Received payment and issued book,No,Yes,NA,NA,NA,NA,,,,,,,,,,,,,,,
Sunday,07/08/2022,2,10:50:00,10,Counter,Transaction,Buy Book - Pengajian Teks Hadith - Nasiruddin Mathanif,Yes,Books,Received payment and issued book,No,Yes,NA,NA,NA,NA,,,,,,,,,,,,,,,
Sunday,07/08/2022,2,10:55:00,10,Counter,Transaction,Buy Book - Akhlak dan Fiqh - AQIL IZZAUDDIN AL-ATTAS BIN SYED ABDUL RAHMAN,Yes,Books,Received payment and issued book,No,Yes,NA,NA,NA,NA,,,,,,,,,,,,,,,
Sunday,07/08/2022,2,11:00:00,11,Counter,Transaction,Buy Book - Pengajian Teks Hadith - Samsul Kamar Abdullah,Yes,Books,Received payment and issued book,No,Yes,NA,NA,NA,NA,,,,,,,,,,,,,,,
Sunday,07/08/2022,2,11:05:00,11,Counter,Transaction,Buy Book - Akhlak dan Fiqh - Muhammad Syafiq Bin Hashim,Yes,Books,Received payment and issued book,No,Yes,NA,NA,NA,NA,,,,,,,,,,,,,,,
Sunday,07/08/2022,2,11:10:00,11,Counter,Enquiry,Collect SPI Books - #13920,Yes,Books,Issued books,No,Yes,NA,NA,NA,NA,,,,,,,,,,,,,,,
Sunday,07/08/2022,2,11:15:00,11,Counter,Enquiry,Collected Cert - Maisarah Syazwina Bt Muhamad Azmi,Yes,Certificate,Issued Certificate,No,Yes,NA,NA,NA,NA,,,,,,,,,,,,,,,
Sunday,07/08/2022,2,11:20:00,11,Counter,Enquiry,Wanted to change class day from sun to fri - Maisarah Syazwina Bt Muhamad Azmi,Yes,Classes,referred to Ustazah Hidayah of IPIP and advised accordingly,Yes,Yes,NA,NA,NA,NA,,,,,,,,,,,,,,,
Sunday,07/08/2022,2,12:36:00,12,Counter,Enquiry,Collected Cert - Mohammad Izzat Bin Mohamad Ikhsan,Yes,Certificate,Issued Certificate,No,Yes,NA,NA,NA,NA,,,,,,,,,,,,,,,
Monday,08/08/2022,2,11:15:00,11,Phone,Enquiry,Wants to check last year zakat date - S1674364Z,No,General,Advised accordingly,No,Yes,NA,NA,NA,NA,,,,,,,,,,,,,,,
Monday,08/08/2022,2,11:45:00,11,Phone,Enquiry,Wants to enquire SPI class for his son - Muhammad Ammar Bin Anwar Musoddaq,No,Registration,Referred to Ustazah Zahirah of IPIP and advised accordingly,Yes,Yes,NA,NA,NA,NA,,,,,,,,,,,,,,,
Monday,08/08/2022,2,11:50:00,11,Phone,Enquiry,Pertanyaan tentang buku SPI Sem 3 yang akan dibayar pukul 2,Yes,Books,Advised accordingly,Yes,Yes,NA,NA,NA,NA,,,,,,,,,,,,,,,
Monday,08/08/2022,2,12:10:00,12,Counter,Enquiry,Self Collect Book Pengajian Teks Hadith - Ustazah Zahirah,Yes,Books,Revised payment and Issued Book,No,Yes,NA,NA,NA,NA,,,,,,,,,,,,,,,
Monday,08/08/2022,2,12:35:00,12,Counter,Enquiry,Submited giro form and asked when will it be deducted - Mashitah Bte Zainal,Yes,Fees,Received Giro form and passed to finance Department,No,Yes,NA,NA,NA,NA,,,,,,,,,,,,,,,
